模型,目标域,验证集RMSE降幅,验证集NASA降幅,测试集RMSE降幅,测试集NASA降幅
static,FD002,0.29553985595703125,532056.0,-0.072906494140625,-5729.8125
static,FD003,23.065311431884766,6830777.0,19.08523178100586,119652.5546875
static,FD004,22.528282165527344,24561602.0,21.541969299316406,541383.59375
A1B1,FD002,-4.3774871826171875,46515675.5,-6.976154327392578,-30416.4296875
A1B1,FD003,5.371006011962891,210662.0,4.245948791503906,5547.8505859375
A1B1,FD004,-2.204273223876953,1545244.25,-1.1551551818847656,5824.09375
A2B1,FD002,31.298641204833984,12518450.125,25.21369171142578,351513.3515625
A2B1,FD003,34.00205993652344,1656224.71875,27.025094985961914,37893.381591796875
A2B1,FD004,31.297195434570312,19560131.75,27.97711181640625,438435.4140625
A2B2,FD002,44.68084716796875,30848313.375,36.25592041015625,891671.5625
A2B2,FD003,35.981361389160156,7425647.75,27.81441879272461,128786.888671875
A2B2,FD004,48.582427978515625,45220482.0,40.60521697998047,954048.9921875
